"","X","Country","Date","Annual.GDP","GDP.per.capita","Debt","Debt.Per.Capita","Deficit...M...","Expenditure..M...","Expenditure.Per.Capita","Corruption.Index","Exports","Exports...GDP","Imports","Imports...GDP","Population","Fertility.Rate","Crude.death.rate","HDI","Life.expectancy","CO2.Tons.per.capita","Continent","status"
"281",281,"Ecuador",2006,46802,3351,14568,1043,1335,9928,711,23,12728,0.272,12113.6,0.2588,13965000,2.75,0.00503,0.696,74.32,2.15,"South America","Developing"
"282",282,"Ecuador",2005,41507,3025,14403,1050,266,8880,647,25,10100,0.2433,10286.9,0.2478,13721000,2.8,0.00503,0.693,74.11,2.06,"South America","Developing"
"283",283,"Ecuador",2004,36592,2700,14148,1044,683,7493,553,20,7752.9,0.2119,8226.3,0.2248,13552000,2.85,0.00504,0.688,73.89,1.94,"South America","Developing"
"284",284,"Ecuador",2003,32433,2435,14615,1097,324,6587,495,22,6222.7,0.1919,6702.7,0.2067,13320000,2.91,0.00506,0.682,73.64,1.77,"South America","Developing"
"285",285,"Ecuador",2002,28549,2180,14891,1137,200,6161,471,22,5042,0.1766,6431,0.2253,13094000,2.97,0.00509,0.679,73.37,1.8,"South America","Developing"
"286",286,"Egypt",2016,332484,3686,322068,3571,-41472,108865.4,1207,34,25468,0.1623,55789,0.3555,90200000,3.41,0.00592,0.694,71.48,2.55,"Africa","Developing"
"287",287,"Egypt",2015,332075,3731,293714,3300,-36305,109454.1,1230,36,21349,0.0671,63574,0.1999,8.9e+07,3.44,0.00597,0.691,71.3,2.54,"Africa","Developing"
"288",288,"Egypt",2014,305567,3524,260052,2999,-34479,108978.8,1257,37,26853,0.0824,66786,0.2049,86700000,3.44,0.00603,0.683,71.12,2.53,"Africa","Developing"
"289",289,"Egypt",2013,288007,3400,241978,2857,-37229,99706.6,1177,32,29017.7,0.1125,66179.7,0.2567,84700000,3.42,0.00608,0.68,70.93,2.54,"Africa","Developing"
"290",290,"Egypt",2012,278769,3383,205602,2495,-27873,85908.7,1043,32,29409.2,0.1148,69200.2,0.2701,82400000,3.38,0.00613,0.675,70.74,2.64,"Africa","Developing"
"291",291,"Egypt",2011,247726,3077,180456,2242,-23787,75692.3,940,29,30527.7,0.1187,58902.8,0.229,80500000,3.31,0.00618,0.668,70.54,2.56,"Africa","Developing"
"292",292,"Egypt",2010,230024,2922,159940,2032,-17115,72070.6,915,31,26437.8,0.1219,52922.8,0.2441,78728000,3.23,0.00622,0.665,70.35,2.52,"Africa","Developing"
"293",293,"Egypt",2009,198316,2578,137882,1792,-12300,64575.5,839,28,23061.6,0.1192,44945.7,0.2323,76925000,3.15,0.00625,0.66,70.16,2.55,"Africa","Developing"
"294",294,"Egypt",2008,170797,2270,114041,1516,-10333,55838.8,742,20,26223.8,0.1453,48381.5,0.2681,75229000,3.09,0.00628,0.658,69.97,2.49,"Africa","Developing"
"295",295,"Egypt",2007,137055,1861,104518,1419,-6713,42840.2,582,29,19224,0.1454,37100,0.2805,73644000,3.04,0.00631,0.65,69.79,2.53,"Africa","Developing"
"296",296,"Egypt",2006,112902,1563,97005,1343,-8303,38994.8,540,33,16728.1,0.1543,27300,0.2518,72212000,3.01,0.00634,0.642,69.61,2.4,"Africa","Developing"
"297",297,"Egypt",2005,94127,1330,92441,1307,-6291,28514.3,403,34,12912,0.1372,22449,0.2385,70748000,3.02,0.00637,0.634,69.43,2.3,"Africa","Developing"
"298",298,"Egypt",2004,82855,1195,80001,1154,-4776,24965.8,360,30,9661.4,0.1166,15950,0.1925,69313000,3.05,0.0064,0.628,69.27,2.1,"Africa","Developing"
"299",299,"Egypt",2003,85163,1254,82713,1218,-4880,26099.7,384,33,7407.8,0.087,12950,0.1521,67908000,3.11,0.00643,0.622,69.12,1.97,"Africa","Developing"
"300",300,"Egypt",2002,90261,1357,77479,1165,-6113,27932.5,420,34,5545.9,0.0614,12769.8,0.1415,66531000,3.17,0.00646,0.62,68.96,1.97,"Africa","Developing"
"301",301,"El Salvador",2016,24154,3704,15814,2425,-707,5743,881,36,5420.2,0.2244,9825.8,0.4068,6521000,2.08,0.00698,0.679,72.64,1.22,"North America","Developing"
"302",302,"El Salvador",2015,23438,3628,15077,2334,-824,5520,854,39,5509,0.235,10293.4,0.4392,6460000,2.1,0.00696,0.674,72.41,1.17,"North America","Developing"
"303",303,"El Salvador",2014,22593,3530,14243,2225,-843,5363,838,39,5301.5,0.2347,10514.2,0.4654,6401000,2.13,0.00694,0.67,72.18,1.1,"North America","Developing"
"304",304,"El Salvador",2013,21991,3466,13396,2112,-894,5373,847,38,5491.1,0.2497,10772,0.4898,6344000,2.15,0.00691,0.671,71.94,1.1,"North America","Developing"
"305",305,"El Salvador",2012,21386,3400,13146,2090,-939,5196,826,38,5339.1,0.2497,10258.1,0.4797,6290000,2.19,0.00689,0.67,71.69,1.14,"North America","Developing"
"306",306,"El Salvador",2011,20284,3251,11561,1853,-948,4982,799,34,5308.3,0.2617,9964.5,0.4912,6239000,2.22,0.00687,0.666,71.45,1.13,"North America","Developing"
"307",307,"El Salvador",2010,18448,2979,10637,1718,-949,4620,746,36,4499.4,0.2439,8416,0.4562,6193000,2.27,0.00685,0.671,71.21,1.09,"North America","Developing"
"308",308,"El Salvador",2009,17602,2861,9961,1619,-1147,4422,719,34,3866.2,0.2196,7325.4,0.4162,6153000,2.31,0.00682,0.659,70.98,1.12,"North America","Developing"
"309",309,"El Salvador",2008,17987,2939,8412,1374,-574,4123,674,30,4641.1,0.258,9817.6,0.5458,6121000,2.36,0.0068,0.659,70.76,1.14,"North America","Developing"
"310",310,"El Salvador",2007,17012,2790,7646,1254,-371,3736,613,40,4014.5,0.236,8820.6,0.5185,6097000,2.41,0.00677,0.656,70.54,1.27,"North America","Developing"
"311",311,"El Salvador",2006,16000,2634,7253,1194,-470,3548,584,40,3706,0.2316,7663,0.4789,6074000,2.47,0.00674,0.659,70.33,1.22,"North America","Developing"
"312",312,"El Salvador",2005,14698,2437,6590,1093,-508,3187,529,42,3418,0.2325,6690,0.4552,6030000,2.53,0.00672,0.651,70.12,1.15,"North America","Developing"
"313",313,"El Salvador",2004,13725,2287,6225,1038,-432,2892,482,40,3304.6,0.2408,6328.9,0.4611,6e+06,2.6,0.00671,0.643,69.91,1.11,"North America","Developing"
"314",314,"El Salvador",2003,13244,2218,5890,987,-613,2951,494,37,3128,0.2362,5754,0.4345,5970000,2.69,0.0067,0.635,69.68,1.11,"North America","Developing"
"315",315,"El Salvador",2002,12664,2132,5359,902,-512,2652,446,34,2996,0.2366,5184,0.4093,5940000,2.79,0.00671,0.628,69.43,1.06,"North America","Developing"
"316",316,"Finland",2016,239106,43574,150814,27404,-4156,133900.6,24331,89,57908.7,0.2405,60840.9,0.2528,5503297,1.57,0.0098,0.918,81.5,8.87,"Europe","Developed"
"317",317,"Finland",2015,232968,42576,147882,26950,-5688,132490.9,24145,90,59817.5,0.2552,60429.9,0.2578,5487308,1.65,0.0096,0.915,81.6,8.36,"Europe","Developed"
"318",318,"Finland",2014,273043,50088,164439,30052,-8211,157432.6,28772,89,74332.8,0.2705,76765.2,0.2792,5471753,1.71,0.0096,0.914,81.3,9.02,"Europe","Developed"
"319",319,"Finland",2013,270061,49765,152583,27990,-6852,154195.1,28286,89,74436.6,0.2743,77569.9,0.2859,5451270,1.75,0.0095,0.912,81.1,9.8,"Europe","Developed"
"320",320,"Finland",2012,256854,47554,138503,25523,-5568,143198.7,26388,90,73076.9,0.2829,76467.8,0.2961,5426674,1.8,0.0096,0.908,80.7,9.66,"Europe","Developed"
"321",321,"Finland",2011,273985,50971,133042,24632,-2809,147887.5,27380,94,79142.4,0.2872,84264.4,0.3057,5401267,1.83,0.0094,0.907,80.6,10.8,"Europe","Developed"
"322",322,"Finland",2010,248244,46388,116990,21765,-6320,134455.1,25014,92,69517.8,0.2787,68803.1,0.2759,5375276,1.87,0.0095,0.903,80.2,12.27,"Europe","Developed"
"323",323,"Finland",2009,252222,47354,105282,19674,-6298,137122.8,25624,89,62854.4,0.2479,60889.5,0.2402,5351427,1.86,0.0093,0.899,80.1,10.66,"Europe","Developed"
"324",324,"Finland",2008,284870,53744,93034,17467,11934,136793.2,25683,90,96455.4,0.3376,91781.4,0.3212,5326314,1.85,0.0092,0.904,79.9,11.2,"Europe","Developed"
"325",325,"Finland",2007,255739,48463,86924,16399,13096,119396.6,22526,94,90024.9,0.3511,81703.8,0.3187,5300484,1.83,0.0093,0.901,79.6,12.83,"Europe","Developed"
"326",326,"Finland",2006,216745,41241,82737,15679,8621,104354.2,19775,96,77205.9,0.3556,69375.2,0.3196,5276955,1.84,0.0091,0.899,79.5,13.25,"Europe","Developed"
"327",327,"Finland",2005,204625,39076,81811,15566,5433,100434.9,19110,96,65497.6,0.3197,58765.8,0.2868,5255580,1.8,0.0091,0.895,79.1,11.1,"Europe","Developed"
"328",328,"Finland",2004,197040,37749,84208,16081,4364,97008,18525,90,61520.3,0.3115,51442.9,0.2605,5236611,1.8,0.0091,0.891,79,13.48,"Europe","Developed"
"329",329,"Finland",2003,171406,32923,73381,14058,4161,84696.3,16226,97,53171.1,0.3097,42513.2,0.2477,5219732,1.76,0.0094,0.87,78.6,14.23,"Europe","Developed"
"330",330,"Finland",2002,140119,26972,56415,10836,5696,68055.8,13072,97,45145.2,0.3215,34218,0.2437,5206295,1.72,0.0095,0.867,78.3,12.66,"Europe","Developed"
"331",331,"France",2016,2472282,38349,2422430,36259,-87581,1399450.3,20947,69,501178.9,0.2028,567656.9,0.2297,66809816,1.92,0.0089,0.899,82.7,5.01,"Europe","Developed"
"332",332,"France",2015,2439436,37938,2331342,34985,-88424,1385383.8,20790,70,506264.5,0.2077,570758.3,0.2341,66638391,1.96,0.0089,0.898,82.4,5.02,"Europe","Developed"
"333",333,"France",2014,2856701,44616,2709986,40777,-111516,1633999.2,24587,69,581392.5,0.2036,676617.1,0.2369,66458153,2,0.0084,0.894,82.9,4.92,"Europe","Developed"
"334",334,"France",2013,2811918,44145,2626629,39698,-114838,1609153.9,24320,71,580962.9,0.2065,681467.2,0.2427,66165980,1.99,0.0087,0.889,82.4,5.49,"Europe","Developed"
"335",335,"France",2012,2685371,42372,2431535,37066,-133674,1532585.2,23362,71,568708.4,0.2119,674415.3,0.2513,65600350,2.01,0.0087,0.886,82.1,5.5,"Europe","Developed"
"336",336,"France",2011,2864653,45420,2516676,38554,-147697,1612868.6,24708,70,596472.8,0.2082,720028.5,0.2513,65276983,2.01,0.0084,0.884,82.3,5.51,"Europe","Developed"
"337",337,"France",2010,2647348,42179,2255177,34706,-182164,1504611.2,23155,68,523767,0.198,611069.8,0.231,64978721,2.03,0.0085,0.882,81.8,6.02,"Europe","Developed"
"338",338,"France",2009,2697955,43191,2242815,34687,-193785,1543626.6,23873,69,484781.2,0.1797,560873,0.2087,64658856,2,0.0085,0.878,81.5,5.89,"Europe","Developed"
"339",339,"France",2008,2929983,47155,2015475,31320,-95640,1561791,24270,60,616240.1,0.2103,716794.9,0.2446,64350226,2.01,0.0085,0.878,81.4,6.17,"Europe","Developed"
"340",340,"France",2007,2660905,43060,1717054,26826,-70142,1398576.1,21850,73,559612,0.2103,630861.4,0.2371,64007193,1.98,0.0083,0.876,81.3,6.32,"Europe","Developed"
"341",341,"France",2006,2320659,37796,1499319,23558,-56707,1227001.2,19279,74,495867.8,0.2137,541919.3,0.2335,63645065,2,0.0083,0.874,80.9,6.47,"Europe","Developed"
"342",342,"France",2005,2198160,36057,1480378,23413,-73720,1170851.1,18517,75,463428,0.2109,504124.4,0.2295,63229635,1.94,0.0085,0.869,80.3,6.67,"Europe","Developed"
"343",343,"France",2004,2118671,35016,1397665,22265,-76107,1123082.5,17891,70,452105.8,0.2133,470944.6,0.2222,62772870,1.92,0.0083,0.86,80.3,6.66,"Europe","Developed"
"344",344,"France",2003,1844083,30683,1188163,19074,-74071,982632.7,15775,69,392039.3,0.2125,398840.3,0.2162,62292241,1.89,0.0091,0.857,79.3,6.69,"Europe","Developed"
"345",345,"France",2002,1500348,25137,904744,14625,-47450,792694.6,12813,63,331719.2,0.2209,329262.3,0.2193,61864088,1.88,0.0088,0.853,79.4,6.65,"Europe","Developed"
"346",346,"Germany",2016,3468188,42116,2400854,29094,41079,1536910.7,18624,81,1334355.2,0.3846,1055326.1,0.3043,82521653,1.6,0.0111,0.934,81,9.65,"Europe","Developed"
"347",347,"Germany",2015,3362242,41160,2424383,29502,31710,1480647.7,18018,81,1326206,0.3947,1051131.9,0.3127,82175684,1.5,0.0113,0.933,80.7,9.62,"Europe","Developed"
"348",348,"Germany",2014,3890095,48036,2942851,36243,22539,1722984.8,21220,79,1494213.7,0.3843,1207193,0.3104,81197537,1.47,0.0107,0.93,81.2,9.57,"Europe","Developed"
"349",349,"Germany",2013,3733859,46299,2939097,36390,1493,1678112.8,20777,78,1445067,0.387,1181233,0.3164,80767463,1.42,0.0111,0.928,80.6,10.09,"Europe","Developed"
"350",350,"Germany",2012,3529377,43883,2861788,35540,329,1584335.7,19675,79,1401112.7,0.3972,1154851.9,0.3274,80523746,1.41,0.0108,0.928,80.7,9.89,"Europe","Developed"
"351",351,"Germany",2011,3748655,46697,2992088,37248,-33047,1696185.4,21116,80,1473985,0.3931,1254869.4,0.3347,80327900,1.39,0.0106,0.926,80.6,9.76,"Europe","Developed"
"352",352,"Germany",2010,3402444,42380,2800667,34911,-148858,1636635,20401,79,1258923.7,0.3703,1054813.9,0.3103,80222065,1.39,0.0105,0.921,80.5,10.09,"Europe","Developed"
"353",353,"Germany",2009,3407557,42339,2489915,30438,-107474,1644260,20100,80,1120040.6,0.3283,926347.1,0.2716,81802257,1.36,0.0104,0.917,80.3,9.5,"Europe","Developed"
"354",354,"Germany",2008,3744854,46368,2454055,29927,-4358,1655438.3,20188,70,1446171.4,0.3861,1185067,0.3164,82002356,1.38,0.0103,0.917,80.2,10.24,"Europe","Developed"
"355",355,"Germany",2007,3425982,42300,2192207,26663,8937,1486647.1,18082,78,1321214,0.3857,1054982.7,0.308,82217837,1.37,0.0101,0.915,80.1,10.1,"Europe","Developed"
"356",356,"Germany",2006,2994862,36894,1997609,24268,-49507,1354664.3,16457,80,1108106.6,0.37,906683.9,0.3028,82314906,1.33,0.01,0.911,79.9,10.46,"Europe","Developed"
"357",357,"Germany",2005,2848438,35020,1917279,23257,-94501,1332935,16169,82,970914.5,0.341,777072.8,0.273,82437995,1.34,0.0101,0.903,79.4,10.25,"Europe","Developed"
"358",358,"Germany",2004,2813076,34535,1828981,22169,-93835,1316875.9,15962,80,909886.9,0.3233,715741.6,0.2543,82500849,1.36,0.0099,0.897,79.3,10.5,"Europe","Developed"
"359",359,"Germany",2003,2501014,30669,1583817,19190,-92669,1208439.5,14642,77,751560.2,0.3004,604612.2,0.2417,82531671,1.34,0.0103,0.889,78.6,10.69,"Europe","Developed"
"360",360,"Germany",2002,2077016,25460,1240963,15035,-80543,995030.3,12056,73,615830.8,0.2963,490282.5,0.2359,82536680,1.34,0.0102,0.883,78.6,10.68,"Europe","Developed"
"361",361,"Ghana",2016,54989,1931,31417,1103,-3788,11170.5,392,43,11138.4,0.2026,12920.1,0.235,28481946,3.98,0.00753,0.588,63.12,0.58,"Africa","Developing"
"362",362,"Ghana",2015,48595,1745,26641,957,-1981,9205.9,331,47,10321.1,0.2124,13465.1,0.2771,27849205,4.04,0.00766,0.585,62.77,0.62,"Africa","Developing"
"363",363,"Ghana",2014,53173,1953,27196,999,-4240,11378.6,418,48,13216.8,0.2486,14600.2,0.2746,27224472,4.1,0.0078,0.576,62.42,0.6,"Africa","Developing"
"364",364,"Ghana",2013,63279,2378,27347,1028,-5738,13736.8,516,46,13751.9,0.2173,17600.2,0.2781,26607642,4.15,0.00794,0.577,62.06,0.62,"Africa","Developing"
"365",365,"Ghana",2012,56504,2174,20094,773,-4732,12486.8,480,45,13552.4,0.2398,17763.2,0.3144,25996449,4.19,0.00807,0.57,61.72,0.58,"Africa","Developing"
"366",366,"Ghana",2011,53645,2113,16862,664,-2948,10516.5,414,39,12785.4,0.2383,15837.7,0.2952,25387710,4.23,0.00821,0.563,61.38,0.51,"Africa","Developing"
"367",367,"Ghana",2010,43043,1737,14871,600,-3234,8606.2,347,41,7960.1,0.1849,10922.1,0.2537,24779619,4.27,0.00836,0.554,61.03,0.47,"Africa","Developing"
"368",368,"Ghana",2009,34254,1417,9245,382,-1844,6055.6,251,39,5839.7,0.1705,8046.3,0.2349,24170940,4.31,0.00853,0.547,60.65,0.42,"Africa","Developing"
"369",369,"Ghana",2008,38413,1630,9585,407,-2283,6834.5,290,30,5269.7,0.1372,10268.5,0.2673,23563825,4.35,0.00872,0.542,60.22,0.37,"Africa","Developing"
"370",370,"Ghana",2007,33941,1478,7685,335,-1791,6122.7,267,37,4194.7,0.1236,8061.3,0.2375,22963946,4.39,0.00895,0.53,59.74,0.41,"Africa","Developing"
"371",371,"Ghana",2006,28785,1286,5351,239,-961,4443,199,33,3726.7,0.1295,6753.7,0.2346,22379055,4.44,0.00919,0.519,59.23,0.39,"Africa","Developing"
"372",372,"Ghana",2005,24521,1124,8332,382,-494,3397.7,156,35,2802.2,0.1143,5347.3,0.2181,21814642,4.49,0.00945,0.509,58.72,0.34,"Africa","Developing"
"373",373,"Ghana",2004,20243,952,8336,392,-440,2991.8,141,30,2450,0.121,4073.9,0.2013,21272323,4.55,0.0097,0.498,58.23,0.33,"Africa","Developing"
"374",374,"Ghana",2003,17494,843,9221,444,-375,2279.3,110,33,2324.3,0.1329,3210.2,0.1835,20750299,4.61,0.00993,0.49,57.79,0.36,"Africa","Developing"
"375",375,"Ghana",2002,14200,701,8223,406,-416,1624.1,80,39,1850,0.1303,2720.1,0.1916,20246381,4.68,0.01013,0.489,57.43,0.39,"Africa","Developing"
"376",376,"Greece",2016,195303,18111,348683,32381,950,95724.7,8890,44,28150.6,0.1442,46809.3,0.2398,10768193,1.38,0.011,0.868,81.5,6.1,"Europe","Developed"
"377",377,"Greece",2015,196690,18115,345863,32073,-11043,105331.5,9768,46,28553.9,0.1453,46786.1,0.2381,10783748,1.33,0.0112,0.866,81.1,6.31,"Europe","Developed"
"378",378,"Greece",2014,237406,21727,424627,39107,-8443,119319.2,10989,43,35960.1,0.1516,61982.6,0.2614,10858018,1.3,0.0104,0.864,81.5,6.39,"Europe","Developed"
"379",379,"Greece",2013,239937,21805,425653,38955,-31562,149642.3,13695,40,36139.9,0.1507,60859.3,0.2537,10926807,1.29,0.0102,0.856,81.4,6.62,"Europe","Developed"
"380",380,"Greece",2012,245807,22172,391973,35622,-21779,137048.3,12455,36,35324,0.1437,61685.9,0.2509,11003615,1.34,0.0106,0.854,80.7,7.25,"Europe","Developed"
"381",381,"Greece",2011,288062,25897,495879,44729,-29622,155993.1,14071,34,33779.4,0.1171,66704.9,0.2313,11086406,1.4,0.01,0.852,80.8,7.62,"Europe","Developed"
"382",382,"Greece",2010,299919,26973,438237,39398,-33552,157347.3,14146,35,28017.1,0.0936,65906.7,0.2197,11123392,1.48,0.0098,0.856,80.6,7.86,"Europe","Developed"
"383",383,"Greece",2009,330837,29819,419921,37765,-50186,179188.6,16115,38,25148.6,0.0758,74131.4,0.2237,11119289,1.5,0.0098,0.858,80.4,8.49,"Europe","Developed"
"384",384,"Greece",2008,356140,32198,389431,35101,-36218,180968.7,16311,40,31280.8,0.0877,96617,0.2708,11094745,1.5,0.0097,0.857,80.2,9.02,"Europe","Developed"
"385",385,"Greece",2007,318940,28900,328804,29727,-21389,150108.1,13571,46,26557.7,0.083,84852.8,0.2658,11060937,1.41,0.0099,0.849,79.7,9.41,"Europe","Developed"
"386",386,"Greece",2006,273547,24857,283427,25682,-16265,123415.4,11183,44,21532.8,0.0786,67296.4,0.2459,11036008,1.4,0.0096,0.851,79.9,9.13,"Europe","Developed"
"387",387,"Greece",2005,248184,22624,266208,24190,-15339,112936.9,10263,43,18436.4,0.0746,57729,0.2331,11004716,1.34,0.0096,0.845,79.6,9.28,"Europe","Developed"
"388",388,"Greece",2004,240774,22008,247887,22597,-21272,114733.6,10459,40,15307.9,0.069,52759.6,0.2331,10969912,1.31,0.0096,0.835,79.4,9.11,"Europe","Developed"
"389",389,"Greece",2003,202272,18530,205324,18768,-15847,94291.2,8619,43,13381.9,0.07,44852,0.2374,10940369,1.29,0.0097,0.825,79.3,9.15,"Europe","Developed"
"390",390,"Greece",2002,154307,14172,162085,14849,-9311,70787.6,6485,42,10414.1,0.0742,31570.3,0.2353,10915770,1.28,0.0095,0.818,79.2,8.84,"Europe","Developed"
"391",391,"Guatemala",2016,68663,4141,16477,994,-745,8302.3,501,28,10447.5,0.1522,17000.5,0.2476,16582000,2.97,0.00479,0.649,73.54,1.1,"North America","Developing"
"392",392,"Guatemala",2015,63767,3924,15422,949,-915,7823,481,28,10677.4,0.1674,17639.7,0.2766,16252000,3.03,0.00483,0.645,73.25,1.04,"North America","Developing"
"393",393,"Guatemala",2014,58722,3688,14257,895,-1111,7863.6,494,32,10803.5,0.184,18281.8,0.3113,15924000,3.09,0.00488,0.643,72.94,1.13,"North America","Developing"
"394",394,"Guatemala",2013,53851,3453,13257,850,-1147,7416.1,476,29,10024.8,0.1862,17517.9,0.3253,15596000,3.15,0.00493,0.616,72.6,0.89,"North America","Developing"
"395",395,"Guatemala",2012,50388,3300,12251,802,-1205,7057.4,462,33,9978.7,0.198,16994.4,0.3373,15271000,3.22,0.005,0.613,72.24,0.79,"North America","Developing"
"396",396,"Guatemala",2011,47655,3188,11280,755,-1328,6874.7,460,27,10400.9,0.2183,16613,0.3486,14949000,3.29,0.00507,0.619,71.86,0.8,"North America","Developing"
"397",397,"Guatemala",2010,41338,2826,9957,681,-1359,5999.8,410,32,8462.5,0.2047,13838.3,0.3348,14630000,3.38,0.00515,0.611,71.48,0.8,"North America","Developing"
"398",398,"Guatemala",2009,37734,2636,8657,605,-1186,5361.4,375,34,7213.7,0.1912,11531.3,0.3056,14316000,3.47,0.00523,0.604,71.11,0.84,"North America","Developing"
"399",399,"Guatemala",2008,39137,2794,7878,562,-632,5338.8,381,30,7737.4,0.1977,14546.5,0.3717,14006000,3.58,0.00532,0.598,70.75,0.82,"North America","Developing"
"400",400,"Guatemala",2007,34113,2490,7279,531,-492,4871.2,356,28,6897.7,0.2022,13575.8,0.398,13700000,3.7,0.00541,0.59,70.41,0.93,"North America","Developing"
"401",401,"Guatemala",2006,30231,2257,6545,489,-588,4435.2,331,26,6025.2,0.1993,11914.5,0.3941,13397000,3.83,0.0055,0.579,70.08,0.89,"North America","Developing"
"402",402,"Guatemala",2005,27211,2078,5645,431,-471,3731.3,285,25,5380.9,0.1977,10498.7,0.3858,13096000,3.97,0.00559,0.571,69.76,0.89,"North America","Developing"
"403",403,"Guatemala",2004,23965,1873,5137,401,-262,3215.7,251,20,5036.4,0.2102,9474.5,0.3953,12797000,4.11,0.00569,0.567,69.44,0.87,"North America","Developing"
"404",404,"Guatemala",2003,21918,1753,4580,366,-570,3317.2,265,24,4459.4,0.2035,8126.9,0.3708,12500000,4.25,0.00581,0.564,69.09,0.84,"North America","Developing"
"405",405,"Guatemala",2002,20777,1702,3815,313,-226,2884.1,236,25,4162.1,0.2003,7658.8,0.3686,12209000,4.37,0.00593,0.56,68.72,0.88,"North America","Developing"
"406",406,"Haiti",2016,7976,736,2685,248,2,1491.1,138,20,985.6,0.1236,3423,0.4292,10839970,3.04,0.00876,0.496,62.9,0.33,"North America","Developing"
"407",407,"Haiti",2015,8724,816,2639,247,-218,1890.5,177,17,881.6,0.1011,3683.5,0.4222,10695542,3.1,0.00889,0.493,62.49,0.32,"North America","Developing"
"408",408,"Haiti",2014,8775,832,2310,219,-552,2213.8,210,19,950.4,0.1083,3734,0.4255,10549008,3.16,0.00904,0.49,62.07,0.28,"North America","Developing"
"409",409,"Haiti",2013,8453,813,1815,174,-592,2363.3,227,19,885.5,0.1048,3579.8,0.4235,10400673,3.22,0.00919,0.486,61.66,0.23,"North America","Developing"
"410",410,"Haiti",2012,7890,770,1271,124,-372,2251.6,220,19,815.2,0.1033,3169.5,0.4017,10250930,3.29,0.00933,0.481,61.26,0.22,"North America","Developing"
"411",411,"Haiti",2011,7517,744,887,88,-186,1838.5,182,18,766.9,0.102,3019.6,0.4017,10100320,3.36,0.00948,0.477,60.88,0.24,"North America","Developing"
"412",412,"Haiti",2010,6619,665,1134,114,-177,1496.7,150,22,579.1,0.0875,3146.1,0.4753,9949322,3.43,0.00963,0.47,60.51,0.24,"North America","Developing"
"413",413,"Haiti",2009,6585,672,1767,180,-232,1341.2,137,18,576.3,0.0875,2123.9,0.3225,9798046,3.5,0.00978,0.47,60.15,0.25,"North America","Developing"
"414",414,"Haiti",2008,6550,679,2422,251,-189,1175.7,122,10,479.7,0.0732,2315.5,0.3535,9646580,3.58,0.00994,0.466,59.78,0.27,"North America","Developing"
"415",415,"Haiti",2007,5885,620,2012,212,-147,1060.7,112,16,521.8,0.0887,1681.5,0.2857,9495328,3.66,0.01011,0.462,59.41,0.27,"North America","Developing"
"416",416,"Haiti",2006,4749,508,1839,197,-68,726,78,18,508.7,0.1071,1619,0.3409,9344785,3.75,0.01029,0.458,59.03,0.24,"North America","Developing"
"417",417,"Haiti",2005,4312,469,2015,219,-60,628.4,68,18,470.2,0.109,1453.7,0.3371,9195288,3.84,0.01047,0.453,58.65,0.24,"North America","Developing"
"418",418,"Haiti",2004,3538,391,1731,191,-81,445.6,49,10,391.3,0.1106,1306,0.3691,9047077,3.93,0.01065,0.45,58.29,0.24,"North America","Developing"
"419",419,"Haiti",2003,2984,335,1816,204,-109,380.9,43,15,346.6,0.1161,1187.8,0.3981,8900104,4.03,0.01082,0.449,57.96,0.21,"North America","Developing"
"420",420,"Haiti",2002,3475,397,1853,212,-109,402.9,46,22,280,0.0806,1130,0.3252,8754150,4.13,0.01098,0.446,57.66,0.22,"North America","Developing"
"421",421,"Honduras",2016,21718,2383,8345,916,-86,5948.6,653,30,7959.5,0.3665,10558.9,0.4862,9115000,2.54,0.00442,0.614,74.7,1.1,"North America","Developing"
"422",422,"Honduras",2015,20980,2341,7853,876,-164,5458.8,609,31,8225.9,0.3921,11175.3,0.5327,8961000,2.58,0.00442,0.609,74.5,1.11,"North America","Developing"
"423",423,"Honduras",2014,19757,2243,7414,842,-572,5459,620,29,8117.1,0.4108,11051.1,0.5593,8809000,2.64,0.00443,0.603,74.28,1.08,"North America","Developing"
"424",424,"Honduras",2013,18499,2137,6973,805,-1060,5471.1,632,26,7833.2,0.4234,10952.6,0.5921,8658000,2.7,0.00445,0.6,74.05,1.06,"North America","Developing"
"425",425,"Honduras",2012,18529,2178,5511,648,-645,4880.4,574,28,8359.3,0.4511,11371.2,0.6137,8506000,2.77,0.00447,0.597,73.81,1.07,"North America","Developing"
"426",426,"Honduras",2011,17649,2113,4456,534,-519,4574.1,548,26,7977,0.452,11126.1,0.6304,8352000,2.86,0.0045,0.598,73.57,1.09,"North America","Developing"
"427",427,"Honduras",2010,15730,1919,3702,452,-530,4159.2,508,24,6264.4,0.3982,8907,0.5662,8195000,2.96,0.00453,0.596,73.32,0.98,"North America","Developing"
"428",428,"Honduras",2009,14486,1803,3525,439,-705,4111.5,512,25,4826.8,0.3332,7371.8,0.5089,8035000,3.06,0.00458,0.591,73.06,1.02,"North America","Developing"
"429",429,"Honduras",2008,13790,1752,3079,391,-37,3642.3,463,20,6198.5,0.4495,10453.1,0.758,7873000,3.18,0.00463,0.59,72.8,1.1,"North America","Developing"
"430",430,"Honduras",2007,12275,1593,2948,383,-31,3000.8,389,25,5783.6,0.4712,8887.7,0.724,7708000,3.3,0.00468,0.593,72.54,1.16,"North America","Developing"
